BallNo,Description_1,Description_2,Description_3,Description_4,Characteristic,Measurement_1,Measurement_2,Measurement_3,Measurement_NO,CNC
1,外側胎座面圓周(∅16圓),Out.Bead seat circumference,(1)-外側胎座面圓周(∅16圓),"外側胎座面圓周(∅16圓)
Out.Bead seat circumference",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
2,內側胎座面圓周(∅16圓),Inn.Bead seat circumference,(2)-內側胎座面圓周(∅16圓),"內側胎座面圓周(∅16圓)
Inn.Bead seat circumference",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
3,First harmonic,First harmonic,(3)-First harmonic,"First harmonic
First harmonic",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
4,Angle harmonic,Angle harmonic,(4)-Angle harmonic,"Angle harmonic
Angle harmonic",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
5,外側偏擺 (胎座面)  (碟煞側胎唇),Outer Runout,(5)-外側偏擺 (胎座面)  (碟煞側胎唇),"外側偏擺 (胎座面)  (碟煞側胎唇)
Outer Runout",SC,偏擺儀,Deflection Tester,"偏擺儀
Deflection Tester",BD001,車床
6,內側偏擺 (胎座面) (碟煞側胎座面),Inner Runout,(6)-內側偏擺 (胎座面) (碟煞側胎座面),"內側偏擺 (胎座面) (碟煞側胎座面)
Inner Runout",SC,偏擺儀,Deflection Tester,"偏擺儀
Deflection Tester",BD001,車床
7,外側偏擺 (胎唇)  (非碟煞側胎座面),Outer skidness,(7)-外側偏擺 (胎唇)  (非碟煞側胎座面),"外側偏擺 (胎唇)  (非碟煞側胎座面)
Outer skidness",SC,偏擺儀,Deflection Tester,"偏擺儀
Deflection Tester",BD001,車床
8,內側偏擺 (胎唇)  (非碟煞側胎唇),Inner skidness,(8)-內側偏擺 (胎唇)  (非碟煞側胎唇),"內側偏擺 (胎唇)  (非碟煞側胎唇)
Inner skidness",SC,偏擺儀,Deflection Tester,"偏擺儀
Deflection Tester",BD001,車床
9,公稱寬度,Rim width,(9)-公稱寬度,"公稱寬度
Rim width",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
10,ET值,Offset,(10)-ET值,"ET值
Offset",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
11,外側胎座面直徑(∅16圓),Outer bead seat diameter,(11)-外側胎座面直徑(∅16圓),"外側胎座面直徑(∅16圓)
Outer bead seat diameter",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
11A,外側公稱直徑(碟煞側),Outer nominal dia.,(11A)-外側公稱直徑(碟煞側),"外側公稱直徑(碟煞側)
Outer nominal dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
12,內側胎座面直徑(∅16圓),Inner bead seat diameter,(12)-內側胎座面直徑(∅16圓),"內側胎座面直徑(∅16圓)
Inner bead seat diameter",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
12A,內側公稱直徑(非碟煞側),Inner nominal dia.,(12A)-內側公稱直徑(非碟煞側),"內側公稱直徑(非碟煞側)
Inner nominal dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
13,裝胎面厚度(碟煞側),Rim thickness,(13)-裝胎面厚度(碟煞側),"裝胎面厚度(碟煞側)
Rim thickness",,外徑卡規,Outside Diameter Gauge,"外徑卡規
Outside Diameter Gauge",BK-003,車床
14,裝胎面厚度(碟煞側),Rim thickness,(14)-裝胎面厚度(碟煞側),"裝胎面厚度(碟煞側)
Rim thickness",SC,外徑卡規,Outside Diameter Gauge,"外徑卡規
Outside Diameter Gauge",BK-003,車床
15,裝胎面厚度(非碟煞側),Rim thickness,(15)-裝胎面厚度(非碟煞側),"裝胎面厚度(非碟煞側)
Rim thickness",,外徑卡規,Outside Diameter Gauge,"外徑卡規
Outside Diameter Gauge",BK-003,車床
16,裝胎面厚度(非碟煞側),Rim thickness,(16)-裝胎面厚度(非碟煞側),"裝胎面厚度(非碟煞側)
Rim thickness",,外徑卡規,Outside Diameter Gauge,"外徑卡規
Outside Diameter Gauge",BK-003,車床
17,中心孔直徑,Centre bore,(17)-中心孔直徑,"中心孔直徑
Centre bore",CC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
18,中心蓋孔直徑,Centre cap dia.,(18)-中心蓋孔直徑,"中心蓋孔直徑
Centre cap dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
19,盤面厚度,Hub width,(19)-盤面厚度,"盤面厚度
Hub width",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
20,後距空間,Outset,(20)-後距空間,"後距空間
Outset",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
21,中心蓋扣點的孔直徑,Centre cap lock dia.,(21)-中心蓋扣點的孔直徑,"中心蓋扣點的孔直徑
Centre cap lock dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
22,中心蓋座的深度,Centre cap seat height,(22)-中心蓋座的深度,"中心蓋座的深度
Centre cap seat height",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
23,輪圈寬度(扣除2個∅16圓的寬度),Rim width (-32mm),(23)-輪圈寬度(扣除2個∅16圓的寬度),"輪圈寬度(扣除2個∅16圓的寬度)
Rim width (-32mm)",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
24,中心孔徑的有效深度,Centre bore depth,(24)-中心孔徑的有效深度,"中心孔徑的有效深度
Centre bore depth",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
25,外側胎唇厚度(碟煞側),Outer rim wall thickness,(25)-外側胎唇厚度(碟煞側),"外側胎唇厚度(碟煞側)
Outer rim wall thickness",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
26,內側胎唇厚度(非碟煞側),Inner rim wall thickness,(26)-內側胎唇厚度(非碟煞側),"內側胎唇厚度(非碟煞側)
Inner rim wall thickness",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
27,花鼓安裝面 至 肋骨頂端 的距離,Distance from contact surface to top spoke,(27)-花鼓安裝面 至 肋骨頂端 的距離,"花鼓安裝面 至 肋骨頂端 的距離
Distance from contact surface to top spoke",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
28,平坦度,Flatness,(28)-平坦度,"平坦度
Flatness",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
30,螺絲孔球面假想圓心高度,height of bolt seat,(30)-螺絲孔球面假想圓心高度,"螺絲孔球面假想圓心高度
height of bolt seat",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
31,螺絲孔直徑(或攻牙),Bolt hole dia.,(31)-螺絲孔直徑(或攻牙),"螺絲孔直徑(或攻牙)
Bolt hole dia.",SC,游標卡尺,Caliper,"游標卡尺
Caliper",AA-015,銑床
32,螺絲孔正位度,Bolt seat true position,(32)-螺絲孔正位度,"螺絲孔正位度
Bolt seat true position",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
33,螺絲孔PCD,Bolt hole PCD (Pitch Circle Diameter),(33)-螺絲孔PCD,"螺絲孔PCD
Bolt hole PCD (Pitch Circle Diameter)",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
34,螺絲孔斜面角度/螺絲孔球面直徑,Angle/Radius bolt seat,(34)-螺絲孔斜面角度/螺絲孔球面直徑,"螺絲孔斜面角度/螺絲孔球面直徑
Angle/Radius bolt seat",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
35,氣嘴孔內徑,Valve hole dia.,(35)-氣嘴孔內徑,"氣嘴孔內徑
Valve hole dia.",SC,游標卡尺,Caliper,"游標卡尺
Caliper",AA-015,銑床
36,氣嘴孔厚度,Valve hole wall thickness,(36)-氣嘴孔厚度,"氣嘴孔厚度
Valve hole wall thickness",SC,外徑卡規,Outside Diameter Gauge,"外徑卡規
Outside Diameter Gauge",BK-003,銑床
37,螺絲孔入口直徑,Socket dia.,(37)-螺絲孔入口直徑,"螺絲孔入口直徑
Socket dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
38,氣嘴孔外側直徑(打氣側),Outer recess valve hole,(38)-氣嘴孔外側直徑(打氣側),"氣嘴孔外側直徑(打氣側)
Outer recess valve hole",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
39,肋骨厚度,Spoke thickness,(39)-肋骨厚度,"肋骨厚度
Spoke thickness",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
40,垂直度(安裝面與中心孔),Perpendicularty centre bore,(40)-垂直度(安裝面與中心孔),"垂直度(安裝面與中心孔)
Perpendicularty centre bore",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
41,動平衡,Unbalancing,(41)-動平衡,"動平衡
Unbalancing",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
42,刻字(深度),Marks,(42)-刻字(深度),"刻字(深度)
Marks",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
43,螺絲孔安裝面高度,Bolt seat height,(43)-螺絲孔安裝面高度,"螺絲孔安裝面高度
Bolt seat height",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
